SubmissionDate,starttime,endtime,deviceid,subscriberid,simserial,phonenumber,username,duration,duration_min,caseid,audio_audit,text_audit,q001a,q001b,q001,q001cc,q001c,q001dc,q010a,q010b,q011a,q011b,q012a,q012b,siteid,surveyid,geo-Latitude,geo-Longitude,geo-Altitude,geo-Accuracy,q0const,q100,q101,q102,q103,q104,q105,q105_1,q105_2,q105_3,q105_4,q105_5,q105_6,q105_7,q105_8,q105_9,q105_10,q106,q106_1,q106_2,q106_3,q106_4,q107,q108,q108_1,q108_2,q108_4,q108_5,q108_6,q108_7,q108_8,q108_10,q108_13,q108_b,q108_1_b,q108_2_b,q108_4_b,q108_5_b,q108_6_b,q108_7_b,q108_8_b,q108_10_b,q108_13_b,q109,q110,q111,q111_others,q112,q113,q114,q115,q116,q117,q118,q119,q120,q121,q122,q123,recmm,grp_faibl1_count,qfaibl_1,drecpt_1,respo_1,qdate_1,qfaibl_2,drecpt_2,respo_2,qdate_2,qfaibl_3,drecpt_3,respo_3,qdate_3,qfaibl_4,drecpt_4,respo_4,qdate_4,qfaibl_5,drecpt_5,respo_5,qdate_5,qfaibl_6,drecpt_6,respo_6,qdate_6,qfaibl_7,drecpt_7,respo_7,qdate_7,qfaibl_8,drecpt_8,respo_8,qdate_8,qfaibl_9,drecpt_9,respo_9,qdate_9,qfaibl_10,drecpt_10,respo_10,qdate_10,qfaibl_11,drecpt_11,respo_11,qdate_11,qfaibl_12,drecpt_12,respo_12,qdate_12,qfaibl_13,drecpt_13,respo_13,qdate_13,qcomment,instanceID,instanceName,formdef_version,KEY
12 déc. 2025 13:34:05,12 déc. 2025 13:10:52,12 déc. 2025 13:33:39,6BCA134F-AAAA-4B62-8C17-DE5988F8BE39,,,,rdqa_pnlt,1290,21.5,,,https://posaf.surveycto.com/view/submission-attachment/TA_1e0e3071-4874-4f7e-a4be-cf23a18ef4df.csv?uuid=uuid%3A1e0e3071-4874-4f7e-a4be-cf23a18ef4df,12 déc. 2025,13:11:00,2,Equipe 2,6,Enquêteur 4,5,kg Kwango,9,kg Kasongo Lunda,26,kg Matamba Solo Centre de Santé de Référence,5-9-26,5-9-26-FA,-4.30465109646721,15.300822425647917,284.5,6.5,1,1,1,1,1,2,,,,,,,,,,,,,2,2,3,2,3,,3,2,3,2,3,1,3,1,3,,,,,,,2,,1,2,1,2,2,,2,2,2,3,2,3,0,2,1,2,2,2,2,2,Sdfghj,Vbggkjf,Dfreyu,13 janv. 2026,Dggjjkj,Cvbjnm,Cvfghhj,16 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT nous a,uuid:1e0e3071-4874-4f7e-a4be-cf23a18ef4df,5-9-26-FA,2512111450,uuid:1e0e3071-4874-4f7e-a4be-cf23a18ef4df
18 déc. 2025 09:49:09,17 déc. 2025 12:33:30,18 déc. 2025 09:48:54,f1d356312d70dfb0,,,,rdqa_pnlt,3213,53.55,,,https://posaf.surveycto.com/view/submission-attachment/TA_334f2470-e7e4-4aaa-8335-f1c77939bac3.csv?uuid=uuid%3A334f2470-e7e4-4aaa-8335-f1c77939bac3,18 déc. 2025,08:36:17,2,Equipe HAUT KATANGA,4,Antoinette HAKONYANGE,2,hk Haut Katanga,3,hk Kambove,6,hk Mulungwishi Centre de Santé,2-3-6,2-3-6-FA,-10.8226605,26.7377293,1211.2,4.4,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,2,2,1,1,1,1,1,1,2,,1,1,1,1,1,0,1,1,1,3,1,1,3,3,Inexistence d’un tableau de suivi des indicateurs,Consevoir et afficher le tableau de suvi des indicateurs au CDT,IT TB,18 janv. 2026,Registre d’expédition des échantillons non disponible,Commender au BCZS le registre d’expedition des échantillons,IT/TL CDT,25 déc. 2025,Absence des SOP sur comment effectuer les contrôles de qualité des données,Rendre disponibles au CDT les SOP,MCZS,18 janv. 2026,,,,18 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Disponibilté des prestataires , echanges fructueux, prestztaire receptif",uuid:334f2470-e7e4-4aaa-8335-f1c77939bac3,2-3-6-FA,25121504,uuid:334f2470-e7e4-4aaa-8335-f1c77939bac3
20 déc. 2025 07:22:47,16 déc. 2025 12:54:16,19 déc. 2025 09:25:22,64993c1e671a7051,,,,rdqa_pnlt,10689,178.15,,,https://posaf.surveycto.com/view/submission-attachment/TA_510bf97b-decd-4dac-8611-250ef2aad1fc.csv?uuid=uuid%3A510bf97b-decd-4dac-8611-250ef2aad1fc,16 déc. 2025,12:54:44,2,Equipe HAUT KATANGA,3,Colette KINKELA,2,hk Haut Katanga,4,hk Kapolowe,7,hk Kapolowe Hôpital Général de Référence,2-4-7,2-4-7-FA,-10.9440942,26.9563369,1149.5,4.8,1,1,1,1,0,1,,2,2,2,2,1,1,2,1,1,2,,2,2,2,2,1,,1,1,1,1,3,1,1,1,1,,2,1,1,2,,1,2,2,2,1,1,1,,2,1,1,2,2,0,1,3,1,4,1,2,8,8,Absence d’un tableau de bord des indicateurs integrant les indicateurs,Rendre disponsible le tableau d’indicateurs et l’afficher au mur,IT,23 déc. 2025,"Mauvaise tenue des outils (registres incompletement remplis, surcharges, couverture dechirée...)",Accompagner les prestataires dans la tenue correcte de support d’information ( remplissage....),BCZS,23 déc. 2025,Faible maitrise de definitions de cas,"Briefer les prestataires sur les definitions de cas
Faire une supervision formative","BCZS
CPLT",30 déc. 2025,Absence de supervision axée sur la qualité des données,Organiser les supervions formatives axeés sur la qualitée des données,BCZS/ CPLT,5 janv. 2026,Rupture de fiches de malades,Disponibiliser les outils,Unité Centrale,6 janv. 2026,Absence de controle interne des données avant la transmission,Organiser des reunions pour le controle interne des données an niveau de CDT,IT et le staff de l’hopital,2 janv. 2026,Absence d’espace appropriė pour l’archivage  et les données personnelles pertinentes ne sont pas conservées selon les normes,Organiser l’archivage dans les normes,IT,23 déc. 2025,Absence d’un SOP  sur les controles de qualité,Organiser des reunions de monitorage permettant une analyse fouillée des données rapportées,IT,5 janv. 2026,,,,,,,,,,,,,,,,,,,,,"Equipe formé en PATI6, en DHIS2 et suivi&évaluation
Maitrise le travail qu’ils effectuent  et bonne organisation de l’equipe
Presence de tous les rapports au niveau de la structure
Le CDT encode lui meme ses propres données
Ecarts entre les données rapportées dans le rapport mensuel et le registre TB
Les reunions de monitorage sont régulieres
Presence d’un  cahier de supervision  et le CDT applique les recommandations formulées
Trop dd ratures dans le rapport mensuel du au mauvais comptage du CDT
Pas de reunion de monitorage au niveau de CDT
Tous les rapports attendus de la periode ėtaient disponibles
Le personnel designė pour compiler   est bien identifié
Absence d’un tableu de bord affiché au mur",uuid:510bf97b-decd-4dac-8611-250ef2aad1fc,2-4-7-FA,25121504,uuid:510bf97b-decd-4dac-8611-250ef2aad1fc
20 déc. 2025 07:22:48,18 déc. 2025 08:33:57,20 déc. 2025 07:22:22,64993c1e671a7051,,,,rdqa_pnlt,30876,514.6,,,https://posaf.surveycto.com/view/submission-attachment/TA_d7fc842d-515f-4264-a7f4-0e7de4d49fc5.csv?uuid=uuid%3Ad7fc842d-515f-4264-a7f4-0e7de4d49fc5,18 déc. 2025,08:34:00,2,Equipe HAUT KATANGA,3,Colette KINKELA,2,hk Haut Katanga,4,hk Kapolowe,8,hk Lwisha Centre de Santé,2-4-8,2-4-8-FA,-11.1279949,27.1051992,1148.1,5.6,1,1,1,1,0,1,,1,0,2,2,1,1,1,2,2,1,,3,3,3,3,1,,1,4,1,1,4,1,1,1,1,,2,,2,1,,1,2,2,2,1,1,1,,3,0,2,2,2,0,1,2,1,4,1,2,7,7,Absence de tableau de bord des suivi des indicateurs,Disponibiser le tabeau de bord et l’affichet au mur,IT,23 déc. 2025,Mauvaise tenue des supports d’informations & faible maitrise des definitions de cas,Accompagner le prestataire dans la tenue correcte des outils/ organiser les supervisions formatives,BCZS/ CPLT,20 janv. 2026,Faible suivre de recommandation formulées,Appliquer les recommandations formulées,IT,26 nov. 2025,Mauvaise archivage: Absence des fiches de traitement des  malades de janvier jusqu’à mai,Organiser le classement des outils de faćon à pourvoir les retrouver facilement,IT,7 janv. 2026,Plusieurs malades  depistés sont non ėvalués,Evaluer tous les malades mis en traitement/briefer & accompagner le prestataire,IT/BCZS,2 janv. 2025,Absence de reunion de monitorage,,,19 déc. 2025,Presque tout les malades sont cliniquement diagnostiqués / ceux qui sont positifs ne font pas de F2 à cause du manque du microscopiste,Affecter un microscopiste,BCZS,26 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,"L’équipe formé en PATI6, DHIS2
Presence de documents de collecte des informations
Mauvaise remplissage des outils  de collecte (incompletement et incorrect)
Rupture des outils ( fiches de malades au T1& T2)
Absence d’ un laboratin, tous les malades ont étė diagnostiqué cliniquement diagnostiquė
Rupture en medicaments
Pas des issus des malades dans le registre (non issus  de traitement ), les fiches non trouvé donc lesissus sont mis arbitrairement
Absence de reunion de monitorage à la base
Absence d’un tableau de bord
Absence des enfants de 5 ans  mis sous TPT
Renforcer les capacités de prestataires sur terrain en renforcant les supervisions formatives
Elaborer les SOP pour le remplissage d’outils",uuid:d7fc842d-515f-4264-a7f4-0e7de4d49fc5,2-4-8-FA,25121504,uuid:d7fc842d-515f-4264-a7f4-0e7de4d49fc5
20 déc. 2025 07:23:52,17 déc. 2025 09:17:55,20 déc. 2025 07:23:37,f1d356312d70dfb0,,,,rdqa_pnlt,7718,128.63333333333333,,,https://posaf.surveycto.com/view/submission-attachment/TA_73a4740b-ffe9-44ad-a060-62146f2fc1d5.csv?uuid=uuid%3A73a4740b-ffe9-44ad-a060-62146f2fc1d5,19 déc. 2025,09:18:56,2,Equipe HAUT KATANGA,4,Antoinette HAKONYANGE,2,hk Haut Katanga,3,hk Kambove,6,hk Mulungwishi Centre de Santé,2-3-6,2-3-6-FA,-10.7784047,26.6291502,1203.8,4.8,1,1,1,1,0,2,,,,,,,,,,,,,0,1,1,1,1,,1,3,1,3,4,1,1,1,1,,2,,1,,,1,1,1,1,1,1,2,,1,2,1,1,2,1,1,1,2,4,1,2,5,5,Inexistence du tableau de suivi des indicateurs des données,Consevoir et afficher lectableau de suvi des indicateurs,,16 janv. 2026,Absence du registre d’expedition des échantillons,Commender au BCZS le registre de transport des échatillons et l’utiliser,IT/TL,5 janv. 2026,Le contrôle de l’exactitude des données n’est pas systématique,"Contôler régulièrement et documenter le résultat d,analyse de l’exactitude des données avant de les transmettre au niveau supérieur",MDH/IT,5 janv. 2026,L’ archivage des données non sécurisé,Mettre les données dans une armoire et fermer à clé,IT,8 janv. 2026,Les registres et autres documents ne sont pas archivés par date,Archiver les documents par service et par date,,20 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bon climat de travail, matrise des indicateurs TB par le prestataire , tenue régulière des réunions d’analyse des données à la base avec l’accompagnement du BCZ
L,archivage des documents non archivé par date et par service et ne sont pas gardés de maniere a garentir la confidentialité.",uuid:73a4740b-ffe9-44ad-a060-62146f2fc1d5,2-3-6-FA,25121504,uuid:73a4740b-ffe9-44ad-a060-62146f2fc1d5
20 déc. 2025 11:00:01,16 déc. 2025 10:49:33,20 déc. 2025 10:59:34,4fa91a51678d3582,,,,rdqa_pnlt,6576,109.6,,,https://posaf.surveycto.com/view/submission-attachment/TA_c5bcfbb9-7771-467c-9ad4-6383baa308a1.csv?uuid=uuid%3Ac5bcfbb9-7771-467c-9ad4-6383baa308a1,18 déc. 2025,20:38:23,10,Equipe KASAI CENTRAL,22,Jean Pierre KABUAYI,7,kr Kasai Central,14,kr Katoka,27,kr Cerdes Centre de Santé de Référence,7-14-27,7-14-27-FA,-5.8956606,22.384629,0.0,700.0,1,1,1,1,1,1,,1,1,1,2,1,1,1,2,2,1,,1,1,1,1,2,,1,3,1,1,1,1,1,1,1,,2,,2,2,2,2,2,2,1,1,1,1,,1,0,0,3,2,0,0,3,2,2,0,2,3,3,Documents de collecte incompletement rempli,Veiller à la tenue régulière des outils gage de la qualité des données,Chargé de TB,18 mars 2026,Faible connaissance de la définition des indicateurs,Rappeler et afficher ces définitions sur la table pour une lecture journalière,Chargé TB de CDT,18 mars 2026,Absence de directives sur le CDQ,Élaboration des directives par le PNLT,CD suivi et évaluation de PNLT,20 févr. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pas encore la maîtrise de l'outil
Interview élastique avec de temps mort du aux occupations de l'équipe dans ses activités routinière
Réceptivité relative par moment au vu de la durée de l'interview 
Tendance d'être focus sur la qualité de service que des données...
Vérification superficielle des données et outils",uuid:c5bcfbb9-7771-467c-9ad4-6383baa308a1,7-14-27-FA,25121504,uuid:c5bcfbb9-7771-467c-9ad4-6383baa308a1
20 déc. 2025 12:39:51,20 déc. 2025 09:18:10,20 déc. 2025 12:39:42,4fa91a51678d3582,,,,rdqa_pnlt,4704,78.4,,,https://posaf.surveycto.com/view/submission-attachment/TA_bb6540e3-9dab-43c8-a845-9e679ab34f22.csv?uuid=uuid%3Abb6540e3-9dab-43c8-a845-9e679ab34f22,20 déc. 2025,09:18:22,10,Equipe KASAI CENTRAL,22,Jean Pierre KABUAYI,7,kr Kasai Central,14,kr Katoka,28,kr St Georges Hôpital Général de Référence,7-14-28,7-14-28-FA,-5.8983307,22.3908811,605.0,7.0,1,1,1,1,1,1,,1,1,1,2,2,1,1,1,1,1,,2,1,1,1,1,,1,3,1,1,3,1,1,1,1,,2,,2,2,,2,2,2,2,1,1,1,,1,0,0,3,2,0,0,3,1,1,1,1,2,2,Outils non à jour et incompletement rempli,"Remplir tous les outils au jour le jour.(registre TB, registre de contact ,registre TPT)",Chargé TB et superviseur hierarchique,20 mars 2027,Pas de vérification des données lors de supervision,"Faire un recomptage lors de l'élaboration des rapports et vérifier les données saisies. 
Redynamiser les réunions de monitorrage",,20 mars 2026,,,,20 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Non disponibilité de l'ordinateur pour les auditeurs de CERDES et pas de compétence dans l'utilisation du fichier Excel 

Les audites ayant eu suffisamment le temps pour se préparer à l'exercice 

Tendance à répondre positivement aux questions par manque de vérification objective sur l'implication de chef hiérarchique dans le contrôle de qualité des données",uuid:bb6540e3-9dab-43c8-a845-9e679ab34f22,7-14-28-FA,25121504,uuid:bb6540e3-9dab-43c8-a845-9e679ab34f22
21 déc. 2025 17:22:27,18 déc. 2025 10:21:39,19 déc. 2025 06:04:31,0834d731150bed21,,,,rdqa_pnlt,7636,127.26666666666667,,,https://posaf.surveycto.com/view/submission-attachment/TA_1a26cee2-b24f-4ca1-a44d-316a4f247279.csv?uuid=uuid%3A1a26cee2-b24f-4ca1-a44d-316a4f247279,18 déc. 2025,10:40:07,6,Equipe KASAI ORIENTAL,13,Sébastien MAYU,4,ke Kasai Oriental,7,ke Bonzola,13,ke Camp Nsele Centre de Santé,4-7-13,4-7-13-FA,-6.13105,23.5771832,640.8,4.5,1,1,1,1,2,1,,1,1,1,1,2,1,1,1,1,1,,2,1,1,1,1,,1,2,1,2,2,2,1,1,1,,1,,1,,,,1,1,1,1,1,1,,1,1,1,1,2,0,1,1,1,1,1,1,6,6,Pas le guide de Pati VI,Rendre disponible le guide de Pati 6,MCZ,30 janv. 2026,Mauvais archivage,Archiver correctement  tous les outils de collectes des données,IT,30 janv. 2026,Pas d’acussé sur les rapports mensuel,Transmettre en double copies les rapports pour accusé réception,IT,17 janv. 2026,Tableau de bord non disponible et non affiché,Mettre à jour le tableau de bord,IT,30 janv. 2026,Absence de POS,Rendre disponible les SOP,MCZ,30 janv. 2026,Absence de la retro information d’évaluation des données.,Rendre disponible le retro information,MCZ,30 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La disponibilite de l’équipe et patience,uuid:1a26cee2-b24f-4ca1-a44d-316a4f247279,4-7-13-FA,25121504,uuid:1a26cee2-b24f-4ca1-a44d-316a4f247279
21 déc. 2025 17:22:41,12 déc. 2025 12:05:09,19 déc. 2025 19:58:19,0834d731150bed21,,,,rdqa_pnlt,3519,58.65,,,https://posaf.surveycto.com/view/submission-attachment/TA_171daeb5-b333-4234-8efb-c3f2bdffa7f6.csv?uuid=uuid%3A171daeb5-b333-4234-8efb-c3f2bdffa7f6,12 déc. 2025,12:05:26,1,Equipe 1,1,Superviseur 1,6,kn Kinshasa,11,kn Binza Meteo,32,kn La Borne Centre Hospitalier,6-11-32,6-11-32-FA,-4.3435599,15.276517,304.8,4.6,1,1,1,1,2,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,2,3,2,2,1,1,,1,1,1,,,,,1,1,1,1,1,,1,1,1,1,2,0,1,3,1,1,1,1,1,1,"QRupture des fiches de traitement, absence de supervision sur la qualité des données.",,,12 déc. 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fiché à déclasser c’était un fichier test de la formation,uuid:171daeb5-b333-4234-8efb-c3f2bdffa7f6,6-11-32-FA,251211948,uuid:171daeb5-b333-4234-8efb-c3f2bdffa7f6
21 déc. 2025 19:07:33,19 déc. 2025 15:01:57,19 déc. 2025 15:56:54,a051953f2695f84e,,,+243110509716231,rdqa_pnlt,3297,54.95,,,https://posaf.surveycto.com/view/submission-attachment/TA_842b0912-791f-4cae-96c8-16035ea79045.csv?uuid=uuid%3A842b0912-791f-4cae-96c8-16035ea79045,19 déc. 2025,15:02:12,1,Equipe TANGANYIKA,2,Matthieu NTUMBA,9,tn Tanganyika,17,tn Kalemie,33,tn Kalemie Hôpital Général de Référence,9-17-33,9-17-33-FA,-5.9195084,29.1895847,771.8,4.9,1,1,1,1,1,1,,1,2,2,2,2,0,2,1,2,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,0,2,2,1,1,1,2,4,4,"Certains indicateurs TB ne sont pas bien maitrisés (les issus de traitement, TB PS, TB PR)",Mettre à jour les compétences du personnel sur la définition complète des indicateurs TB à travers les missions de supervision/coaching et le recyclage,"MCZ, IS TB",31 janv. 2026,"Les directives sur la collecte et le rapportage existent ,mais ne sont pas formalisées",Formaliser et diffuser les SOP écrites sur le protocole de rapportage et le contrôle qualité,MCZ,31 janv. 2026,"Les supervisions non systématiques, des visites existent , mais nesont pas regulières ou ne sont pas toujours documentées",Renforcer la supervision systématique et documentée,"MCZ, IS , MDH , Directeur de nursing",31 janv. 2026,L’espace d’archivage insuffisant et l’armoire ne dispose pas de clé pour sécuriser les données,"Améliorer l’espace de stockage sécurisé avec armoires fermées
Maintenir un accès limitéet contrôlé aux registres archivés",,31 janv. 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Participation active de l’équipe,uuid:842b0912-791f-4cae-96c8-16035ea79045,9-17-33-FA,25121504,uuid:842b0912-791f-4cae-96c8-16035ea79045
